"Date","Record Number","Record Type","Module","Short Notes","Project Name","Status"
"04/01/2024","BB-202402819","Residential New","Building",,"1571 Ezra Church (RES)","Closed",
"03/29/2024","BB-202402800","Residential New","Building",,"1732 Beecher (RES)","Closed",
"02/12/2024","PV-202400025","Commercial - Solar PV","Building",,"242 COA (COM)","Issued",
"01/26/2024","BB-202400735","Commercial Conversion","Building",,"High Country Outfitters (LC)(CO)","CO Issued",
"01/09/2024","PV-202400006","Commercial - Solar PV","Building",,"CITY OF ATLANTA_SOLAR PANELS_(XPRS) 239","Issued",
"12/11/2023","BB-202309935","Commercial Alteration","Building",,"Maje (LC)","No CO Required",
"11/14/2023","PV-202300132","Commercial - Solar PV","Building",,"CITY OF ATLANTA_SOLAR PANELS_(XPRS) DWM 107","Issued",
"11/14/2023","PV-202300133","Commercial - Solar PV","Building",,"CITY OF ATLANTA_SOLAR PANELS_(XPRS) DWM 109","Issued",
"11/14/2023","PV-202300134","Commercial - Solar PV","Building",,"CITY OF ATLANTA_SOLAR PANELS_ (XPRS) DWM 110","Issued",
"10/24/2023","BB-202308822","Commercial Miscellaneous","Building",,"4 WEST ATL GREASE TRAP SUITE E (LC)","Issued",
"09/14/2023","BB-202307626","Airport General","Building",,"Dunkin' ATL Airport: Space T-F10 Gate T3","CO Issued",
"08/21/2023","BB-202306894","Multi Family Alteration","Building",,"M West Building Two (LC)","Expired",
"08/21/2023","BB-202306898","Multi Family Alteration","Building",,"M West Building One (LC)","Expired",
"08/09/2023","BB-202306539","Commercial Alteration","Building",,"MARANATHA SDA CHURCH ACCESSORY STORAGE BLDG (LC)","Issued",
"07/06/2023","BB-202305469","Commercial Alteration","Building",,"GROOMED BY ADRIAN PET SALON (LC) (CO)","CO Issued",
"07/05/2023","BB-202305398","Residential New","Building",,"Donnelly Ave  (RES)","Issued",
"06/06/2023","BB-202304572","Commercial Alteration","Building",,"MEND COFFEE SUITE 106 (LC) (CO)","CO Issued",
"04/19/2023","PV-202300050","Residential - Solar PV","Building",,"Ricardo Benitez","Issued",
"04/14/2023","BB-202302808","Residential New","Building",,"1256 Westboro Dr  (RES)","Issued",
"04/14/2023","BB-202302807","Residential New","Building",,"1262 Westboro Dr SW (RES)","Issued",
"04/11/2023","BB-202302669","Residential New","Building",,"1715 BROWNING","Closed",
"03/23/2023","BB-202302060","Residential Addition","Building",,"122 WARREN ST. ADDITION","Closed",
"03/03/2023","BB-202301314","Commercial Alteration","Building",,"MEND COFFEE SHOP SUITE 106 (LC) (CC)","Issued",
"02/28/2023","BLD-ONLINE-23-001460","Online Application","Building",,"MEND COFFEE SHOP SUITE 106 (LC) (CC)","Closed",
"01/17/2023","BB-202300259","Commercial Misc. Structural","Building",,"XTC- ROOF REPAIR (LC)","Issued",
"12/21/2022","BB-202208383","Residential New","Building",,"DUPLEX","Issued",
"12/14/2022","BB-202208278","Commercial Misc. Structural","Building",,"BELLEMADE TOWNHOMES RETAINING WALL (LC) (CC)","Issued",
"10/13/2022","BB-202207249","Residential Alteration","Building",,"ALI REHAP","Issued",
"09/20/2022","BB-202206762","Residential New","Building",,"227 SCOTT ST. - NSF","Closed",
"08/26/2022","BB-202206147","Commercial Alteration","Building",,"IKEA (SHOWROOM RENOVATION) (LC) (CC)","Issued",
"07/06/2022","22-0419","Impact Fees - Fees","Building",,"THE VIEW AT 442 RESTAURANT (IMPACT FEE)","Final Fee Calc",
"06/16/2022","BB-202204368","Commercial Alteration","Building",,"HOLIDAY INN EXPRESS (RESTAURANT DEMO) (LC)","Issued",
"05/27/2022","BB-202203821","Residential Addition","Building",,"SF Addition","Expired",
"05/05/2022","BB-202203269","Residential Addition","Building",,"SF Addition","Issued",
"04/22/2022","BB-202202875","Residential Alteration","Building",,"ALTERATION","Closed",
"04/19/2022","BB-202202763","Commercial Alteration","Building",,"MBNXG FC, SUITE 100 (LC) (CO)","Issued",
"04/06/2022","BB-202202513","Commercial Alteration","Building",,"OLANSKY DERMATOLOGIST, SUITE 500 (LC) (CO)","CO Issued",
"03/22/2022","BB-202202011","Commercial Alteration","Building",,"ROCKEFELLER ARTS BLDG- INTERIOR DEMO","Issued",
"03/02/2022","BB-202201508","Residential Alteration","Building",,"OTC - READY DEVELOPMENT, LLC - ALTERATIONS - XPRS","Issued",
"02/17/2022","BB-202201135","Commercial Alteration","Building",,"LANDLORD IMPROVEMENTS - THE WORKS","No CO Required",
"02/16/2022","BLD-ONLINE-22-001455","Online Application","Building",,"","Closed",
"02/15/2022","BB-202201088","Residential New","Building",,"NSF","Expired",
"02/01/2022","BB-202200728","Commercial Alteration","Building",,"LADYBIRD GROVE & MESS HALL EXPANSION (LC)(CO)","CO Issued",
"01/19/2022","BB-202200396","Commercial Misc. Structural","Building",,"OLYMPUS BUCKHEAD, SUITE 125 (SITE WORK ONLY)(LC)","Issued",
"12/29/2021","BB-202108963","Commercial Misc. Structural","Building",,"479 Edgewood Ave (Retaining Wall)","Expired",
"12/15/2021","BB-202108671","Commercial Alteration","Building",,"THE SALTY, SUITE C (LC) (CO)","CO Issued",
"12/13/2021","BB-202108595","Commercial Alteration","Building",,"SYNOVUS BANK BUCKEAD LEVEL 1 (LC) (CC)","No CO Required",
"11/22/2021","BB-202108194","Commercial Alteration","Building",,"FROZEN YOGURT, SUITE 112 (LC) (CC)","Issued",
"11/22/2021","BB-202108181","Commercial Conversion","Building",,"ROSEWOOD STEAK HOUSE (LC) (CO)","CO Issued",
"11/18/2021","BB-202108097","Commercial Alteration","Building",,"BUILDING FACADE MODIFICATIONS","Issued",
"11/05/2021","BB-202107769","Commercial Alteration","Building",,"URBANTEC DEVELOPMENT PARTNERS, LLC SUITE 2425 (LC) (CO)","CO Issued",
"10/28/2021","BB-202107555","Commercial Alteration","Building",,"WHITE BOX, SUITE B (LC)","No CO Required",
"10/04/2021","BB-202106881","Multi Family New","Building",,"PARK VUE TOWNHOMES 6 PLEX BLDG 2 LOT 43 (LC) (CO)","CO Issued",
"09/24/2021","BB-202106634","Commercial Alteration","Building",,"GANEK, SUITE 425 (LC) (CO)","CO Issued",
"09/21/2021","BB-202106531","Commercial Alteration","Building",,"MESHELLA ROSE BOUTIQUE, SUITE G (LC) (CO)","CO Issued",
"09/17/2021","BB-202106458","Commercial Misc. Structural","Building",,"CASCADE PARC (RETAINING WALL) (LC)","Issued",
"09/08/2021","BB-202106230","Commercial Alteration","Building",,"WHITE BOX (TENANT SPACE) (LC) (CC)","Issued",
"09/07/2021","BB-202106160","Residential Addition","Building",,"Addition / Renovations","Closed",
"09/07/2021","BB-202106195","Commercial Alteration","Building",,"SPEC SUITE (SUITE 605) (LC) (CC)","No CO Required",
"09/02/2021","BB-202106081","Commercial Alteration","Building",,"BREITLING 1884, SPACE NO. 3042B (RE-DEMISE) (LC)","CO Issued",
"09/02/2021","BB-202106075","Airport General","Building",,"DELTA ENGINE ROOM","CO Issued",
"09/01/2021","BB-202106041","Commercial Alteration","Building",,"ACMR MOB (PHASE II) (LC) (CC)","No CO Required",
"09/01/2021","BB-202106042","Commercial Alteration","Building",,"SUMMIT FOOT & ANKLE SUITE 100(LC) (CO)","Issued",
"08/31/2021","BB-202106012","Commercial Demolition","Building",,"ACMR MOB -DEMO (PHASE I) (LC) (CC)","Issued",
"08/30/2021","BB-202105953","Commercial Conversion","Building",,"MACY'S LENOX SQUARE HUB (LC) (CO)","CO Issued",
"08/27/2021","BB-202105918","Commercial Alteration","Building",,"GUNNISON, SUITE 150 (LC) (CO)","CO Issued",
"08/26/2021","BB-202105886","Commercial Alteration","Building",,"OFFICE OF BROS. TENANT FIT UP, SUITE 300 (LC) (CO)","Expired",
"08/25/2021","BB-202105842","Commercial Alteration","Building",,"WARNER MEDIA STUDIOS- TELEVISION STUDIO D","No CO Required",
"08/23/2021","BB-202105738","Commercial Alteration","Building",,"20th Floor Common Area (LC)","Issued",
"08/23/2021","BB-202105763","Commercial Alteration","Building",,"DEMO - 573 JUNIPER STREET (21CAP-00000861)","Issued",
"08/20/2021","BB-202105721","Commercial Alteration","Building",,"THE RADIOLOGY GROUP EXPANSION, SUITE 1150 (LC) (CC)","No CO Required",
"08/18/2021","LD-202100100","Commercial Land Development","Building",,"LD: B & H TOWNHOMES","Issued",
"08/18/2021","BB-202105599","Multi Family New","Building",,"PARK VUE TOWNHOMES BLDG 1 LOT 56 (LC) (CO)","CO Issued",
"08/17/2021","BB-202105580","Commercial Misc. Non-Structural","Building",,"PARKSIDE TRASH ENCLOSURE (LC) (CC)","Issued",
"08/13/2021","BB-202105485","Multi Family New","Building",,"BUCKELY BLDG 1 LOT 1 AKA 148 CHESTNUT CIRCLE PRIMARY  (LC) (CO)","CO Issued",
"08/10/2021","BB-202105405","Multi Family New","Building",,"PARK AT MONROE, MANCHESTER AKA  2911  ILIR MANOR NW  (BLDG 10 UNIT 28 (LC) (CO)","CO Issued",
"08/09/2021","BB-202105384","Commercial Alteration","Building",,"ATLANTA BOTANICAL GARDEN, SUITE A (LC) (CO)","Issued",
"08/03/2021","BB-202105269","Commercial Alteration","Building",,"ADELE'S (LC) (CO)","CO Issued",
"08/02/2021","BB-202105408","Commercial Alteration","Building",,"RALPH LAUREN, SUITE 3086 B (LC)","CO Issued",
"07/30/2021","BB-202105237","Commercial Alteration","Building",,"ATLERATIONS - 2290 - B PEACHTREE ROAD","Issued",
"07/28/2021","BB-202105183","Commercial Demolition","Building",,"KRISPY KREME DEMOLITION (LC) (CC)","Closed",
"07/28/2021","BB-202105198","Commercial Misc. Non-Structural","Building",,"CENTENNIAL FARMS (LC)","Issued",
"07/27/2021","BB-202105165","Commercial Alteration","Building",,"HABERSHAM ESTATES LOWER LEVEL UNISEX RESTROOM RENOVATIONS (LC) (CC)","Issued",
"07/26/2021","BB-202105088","Commercial Alteration","Building",,"PNC BANK - COMM. ALTERATION - XPRS","Issued",
"07/26/2021","BB-202105092","Commercial Conversion","Building",,"(Phase I) 678 MORELAND AVE. (Units 1 - 9)","CO Issued",
"07/26/2021","BB-202105097","Commercial Alteration","Building",,"COMMONWEALTH OF ATLANTA, SUITE 1150 (LC) (CO)","CO Issued",
"07/26/2021","BB-202105134","Commercial New","Building",,"DUNKIN' (LC) (CO)","CO Issued",
"07/23/2021","BB-202105063","Commercial Alteration","Building",,"FIRE DAMAGE - PIEDMONT POINTE (LC) (CC)  B200 and B201","No CO Required",
"07/18/2021","BB-202104914","Commercial Misc. Structural","Building",,"SUNTRUST PLAZA , SECURITY GATE (LC)","Issued",
"07/15/2021","BB-202104934","Commercial Alteration","Building",,"15TH FLOOR COMMON AREA (LC)","Issued",
"07/15/2021","BB-202104880","Multi Family New","Building",,"PARK AT MONROE, MANCHESTER AKA 2906  ILIR MANOR NW (BLDG 8 UNIT 22) (LC) (CO)","CO Issued",
"07/15/2021","BB-202104883","Commercial Misc. Structural","Building",,"BUCKHEAD PLAZA-CHOPS GREASETRAP (LC) (CC)","No CO Required",
"07/15/2021","BB-202104884","Commercial Alteration","Building",,"HONEYSUCKLE GELATO, BUILDING A100 (LC) (CO)","CO Issued",
"07/14/2021","BB-202104867","Commercial Alteration","Building",,"SPEC SUITE 410 (LC)","Issued",
"07/12/2021","BB-202104753","Commercial Alteration","Building",,"GRUB TRUCK SUITE 130 (LC) (CO)","Expired",
"07/12/2021","BB-202104783","Commercial Alteration","Building",,"SALESLOFT, INC INTERIOR MODIFICATIONS      (LC) (CO)","CO Issued",
"07/12/2021","BB-202104812","Commercial Alteration","Building",,"DAILY TRAVERT AVE, SUITE C (LC) (CO)","CO Issued",
"07/09/2021","BB-202104727","Commercial Alteration","Building",,"WHITE BOX SUITE 650 (LC) (CC)","No CO Required",
"07/08/2021","BB-202104683","Multi Family New","Building",,"SWIFT 2   AKA 1079  CREST CIRCLE   (BLDG 23, UNIT 212)     (LC) (CO)","CO Issued",
"07/08/2021","BB-202104695","Multi Family New","Building",,"BUCKLEY BLDG 8 LOT  51  AKA  182  CHESTNUT CIRCLE  (LC) (CO)","CO Issued",
"07/08/2021","BB-202104704","Commercial Misc. Non-Structural","Building",,"BOA PONCE DE LEON DRIVE UP ATM (LC) (CC)","Issued",
"07/08/2021","BB-202104878","Commercial Alteration","Building",,"TURNERBOONE (LC) (CO)","CO Issued",
"07/07/2021","BB-202104659","Commercial Alteration","Building",,"SELVASANA VENDOR 112 (LC) (CO)","Expired",
"07/06/2021","BB-202104826","Commercial Alteration","Building",,"HUFF HARRINGTON, SUITE 7 (LC) (CO)","Issued",
"07/06/2021","BB-202104592","Commercial Alteration","Building",,"ATLANTA FINE HOMES SUITE 200 (LC) (CC)","Issued",
"07/06/2021","BB-202104639","Commercial Alteration","Building",,"VERIZON WIRELESS, NEXTGEN /BUCKHEAD (LC) (CO)","No CO Required",
"07/06/2021","BB-202104582","Commercial Alteration","Building",,"PIEDMONT ATLANTA HOSPITAL-CT/ODC REPLACEMENT  1ST FLOOR/ BLDG 2  LC (CO)","Issued",
"07/06/2021","BB-202104599","Commercial Alteration","Building",,"CORNERSTONE INVESTMENTS PARTNERS LLC SUITE 900 (LC) (CC)","CO Issued",
"07/02/2021","BB-202104553","Commercial Conversion","Building",,"MOTOR LOUNGE II (BLDG 705) (LC) (CO)","CO Issued",
"07/01/2021","BB-202104541","Multi Family New","Building",,"FINLEY TOWNHOMES BLDG 3 UNIT 13 AKA 1068 ROBERT SMALLS WAY (LC) (CO)","CO Issued",
"07/01/2021","BB-202104521","Multi Family New","Building",,"SUMMERHILL TOWNHOMES BLDG 3 LOT 55 AKA 685 FRASER STREET (LC) (CO)","CO Issued",
"06/30/2021","BB-202104495","Multi Family New","Building",,"SUMMERHILL TOWNHOMES BLDG 2 LOT 50 AKA 675  FRASER STREET (LC) (CO)","CO Issued",
"06/29/2021","BB-202104474","Commercial Alteration","Building",,"TEND DENTAL, S205 B (LC) (CO)","CO Issued",
"06/28/2021","BB-202104432","Commercial Alteration","Building",,"CAVA, SUITE 26 (LC) (CO)","CO Issued",
"06/28/2021","BB-202104446","Multi Family New","Building",,"EASTON AT BRIARCLIFF BLDG 5  LOT 37  AKA WHITLOX RD (LC) (CO)","CO Issued",
"06/25/2021","BB-202104395","Commercial Alteration","Building",,"BUCKHEAD BEHAVORIAL HEALTH, SUITE 210 (LC) (CO)","CO Issued",
"06/24/2021","BB-202104364","Commercial Alteration","Building",,"MINT DENTAL, SUITE C-2 (LC) (CO)","CO Issued",
"06/24/2021","BB-202104385","Commercial Alteration","Building",,"PATHOLOGY LAB RENO. OFF. LV 5, SUITE 1200  (LC) (CO)","Issued",
"06/22/2021","BB-202104310","Residential Addition","Building",,"ADDITION/RENOVATION","Closed",
"06/21/2021","BB-202104266","Commercial Alteration","Building",,"POLLO SUPREMO (LC) (CO)","CO Issued",
"06/21/2021","BB-202104254","Commercial Alteration","Building",,"CRABMAN 305 RESTAURANT, SUITE D-1 (LC) (CO)","CO Issued",
"06/21/2021","BB-202104244","Commercial Alteration","Building",,"KEA BEVERAGES, SUITE 4102 (BUILDING 4000) (LC) (CO)","CO Issued",
"06/16/2021","BB-202104205","Commercial Misc. Structural","Building",,"MCCLATCHEY PARK (ADA IMPROVEMENTS) aka 63 PARK LANE (LC)","Issued",
"06/15/2021","BB-202104150","Multi Family New","Building",,"PAINTBOX TOWNHOMES BLDG 8 LOT 50-57 (LC) (CO)","Issued",
"06/14/2021","BB-202104147","Commercial Alteration","Building",,"AMERICAN AXES @ THE WORKS (LC) (CO)","CO Issued",
"06/14/2021","BB-202104140","Commercial Alteration","Building",,"CASPER (SPACE S203) (LC) (CO)","Issued",
"06/10/2021","BB-202104056","Commercial Alteration","Building",,"SCOTTISH TOBACCO, SUITE 58-A (LC) (CO)","CO Issued",
"06/09/2021","BB-202104037","Multi Family New","Building",,"PARK AT MONROE, MANCHESTER AKA   2890 ROYAL HEIGHTS DRIVE (BLDG 13 UNIT 40) (LC) (CO)","CO Issued",
"06/09/2021","BB-202104036","Multi Family New","Building",,"PARK AT MONROE, MANCHESTER AKA 2892- ROYAL HEIGHTS DRIVE (BLDG 13 UNIT 39) (LC) (CO)","CO Issued",
"06/08/2021","BB-202104007","Multi Family New","Building",,"THE CASCADES - BLDG 8 AKA 668 PROVIDENCE PLACE  (UNIT 28)-  (LC) (CO)","CO Issued",
"06/08/2021","BB-202104001","Multi Family New","Building",,"WEST HOLLYWOOD TOWNHOLMES  AKA  2081 HOLLYWOOD RD  BLDG 6  UNIT 27  (LC) (CO)","CO Issued",
"06/08/2021","BB-202104006","Commercial New","Building",,"FETCH BUCKHEAD (LC) (CO)","CO Issued",
"06/08/2021","BB-202103986","Commercial Alteration","Building",,"SUITE F- WHITE BOX (LC)","Issued",
"06/08/2021","BB-202104014","Commercial Alteration","Building",,"CUBANOS ATL VENDOR 124 (LC) (CO)","Expired",
"06/08/2021","BB-202104015","Commercial Alteration","Building",,"FARM GRILL VENDOR 108 (LC) (CO)","Expired",
"06/08/2021","BB-202103972","Multi Family New","Building",,"THE CASCADES - BLDG 5  AKA  653  PROVIDENCE PLACE  (UNIT 14)-  (LC) (CO)","CO Issued",
"06/04/2021","BB-202103882","Commercial Alteration","Building",,"MASS COLLECTIVE, SUITE 100  (LC)  (CO)","CO Issued",
"06/04/2021","BB-202103879","Commercial New","Building",,"TPS-HOUSE SET 13 (LC)","Issued",
"06/03/2021","BB-202103829","Multi Family New","Building",,"SWIFT 2   AKA  727  PERCH PLACE   (BLDG 29, UNITS 248)     (LC) (CO)","CO Issued",
"06/03/2021","BB-202103828","Multi Family New","Building",,"SWIFT 2   AKA   PERCH PLACE  (BLDG 29, UNITS 247-252)     (LC) (CO)","CO Issued",
"06/03/2021","BB-202103844","Commercial Alteration","Building",,"HAIR SLAY HAIR, SUITE 104 (LC)","CO Issued",
"06/01/2021","BB-202103794","Commercial Alteration","Building",,"NESPRESSO, SUITE 4036 C (LC) (CO)","CO Issued",
"05/31/2021","BB-202103779","Commercial Alteration","Building",,"HT GROUP 845 OAK ST (LC) (CC)","No CO Required",
"05/29/2021","BB-202103766","Commercial Alteration","Building",,"FLOCK SAFETY, SUITE 104  (LC) (CO)","CO Issued",
"05/28/2021","BB-202103751","Commercial Alteration","Building",,"SPEC SUITE (SUITE 280)  (LC) (CC)","Issued",
"05/28/2021","BB-202103746","Multi Family New","Building",,"WEST HOLLYWOOD TOWNHOLMES AKA  2081 HOLLYWOOD RD  BLDG  4  UNITS 17   (LC) (CO)","CO Issued",
"05/26/2021","BB-202103685","Commercial Misc. Structural","Building",,"TOWER SQUARE PLAZA LEVEL ESCALATOR INFILL (LC)","No CO Required",
"05/26/2021","BB-202103683","Commercial Alteration","Building",,"DASH & CHUTNEY - VENDOR 110, SUITE 130 (LC)","Expired",
"05/22/2021","BB-202103592","Commercial Conversion","Building",,"D'OR NAILS BAR - SUITE J-110 (LC) (CO)","CO Issued",
"05/21/2021","BB-202103558","Commercial Alteration","Building",,"EMORY UNIVERSITY, GLENN BLDG, ROOM 314 (LC)","No CO Required",
"05/21/2021","BB-202103574","Commercial Alteration","Building",,"EMMY SQUARED, SUITE A  (LC) (CO)","CO Issued",
"05/20/2021","BB-202103555","Commercial Alteration","Building",,"RUTH CHRIS (LC)","Issued",
"05/20/2021","BB-202103537","Commercial Alteration","Building",,"CAPELLA CHEESE SHOP (LC) (CO)","CO Issued",
"05/19/2021","BB-202103510","Commercial Conversion","Building",,"THE VIEW AT 442 RESTAURANT (CONVERSION) PHASE 2 (LC) (CO)","Expired",
"05/18/2021","BB-202103453","Commercial Alteration","Building",,"KW INTOWN, SUITE 140 C (LC) (CO)","CO Issued",
"05/18/2021","BB-202103455","Commercial Pool","Building",,"MILTON APARTMENTS POOL (LC) (CC)","Issued",
"05/14/2021","BB-202103392","Commercial Alteration","Building",,"LEVI'S, SUITE 5106 (LC) (CO)","CO Issued",
"05/14/2021","BB-202103383","Commercial Alteration","Building",,"THE GOAT FARM ARTS (LC)","Issued",
"05/13/2021","BB-202103367","Commercial Alteration","Building",,"SPEC SUITE (SUITE 102) (LC)","No CO Required",
"05/11/2021","BB-202103248","Commercial Alteration","Building",,"BUTECO AT SOUTHERN FEED (BOOTH 5) (LC)","CO Issued",
"05/11/2021","BB-202103253","Multi Family New","Building",,"CULPEPPER STREET TOWNHOMES-aka  1326  BOOTH AVE NW  _BLDG 1  LOT 1  (LC) (CO)","CO Issued",
"05/10/2021","BB-202103235","Commercial Alteration","Building",,"COSMIC CANDY, VENDOR 127 (LC) (CO)","Expired",
"05/06/2021","BB-202103138","Multi Family New","Building",,"SWIFT 2  AKA  742 PERCH PLACE (BLDG 26 LOTS 228) (LC)(CO)","CO Issued",
"05/04/2021","BB-202103064","Multi Family New","Building",,"EMPIRE LOVETREE TOWNHOMES (BLDG 1 LOT 1) aka   708  FOND LANE  (L/C) (CO)","CO Issued",
"05/04/2021","BB-202103136","Commercial Alteration","Building",,"FOX SPORTS, SUITE 200 (LC)","Issued",
"04/30/2021","BB-202102988","Commercial Misc. Structural","Building",,"1100 WEST PEACHTREE (LC)","Issued",
"04/30/2021","BB-202102997","Multi Family New","Building",,"EMPIRE LOVETREE TOWNHOMES (BLDG 2 LOT 5-8) aka  724  FOND LANE  (L/C) (CO)","CO Issued",
"04/28/2021","BB-202102949","Commercial Alteration","Building",,"HIPPIE HIBACHI, SUITE 130 (VENDOR 130) (LC)","Expired",
"04/28/2021","BB-202102957","Commercial Alteration","Building",,"WALDORF ASTORIA - RENOVATION   (LC) (CC)","No CO Required",
"04/27/2021","BB-202102924","Commercial Alteration","Building",,"NG-RENO-XPRS","Issued",
"04/23/2021","BB-202102822","Commercial Alteration","Building",,"TECH SQUARE, SPEC SUITE 735 (LC)","Issued",
"04/20/2021","BB-202102735","Commercial Alteration","Building",,"DAGREEK SPOT, SUITE 200 B (LC) (CO)","CO Issued",
"04/19/2021","BB-202102725","Commercial Demolition","Building",,"DEMOLITION (LC)","Issued",
"04/16/2021","BB-202102651","Commercial Alteration","Building",,"THE USUAL at ARYA, SUITE 100 (LC) (CO)","CO Issued",
"04/14/2021","BB-202102602","Commercial New","Building",,"JACKSON FINE ART (LC) (CO)","CO Issued",
"04/14/2021","BB-202102604","Multi Family New","Building",,"STONEY POINTE, LOT 54  AKA   2920 RIDGEVIEW DRIVE     (LC)  (CO)","CO Issued",
"04/14/2021","BB-202102594","Commercial Alteration","Building",,"THE INTERLOCK, SPEC SUITE P-120 (LC)","Issued",
"04/13/2021","BB-202102801","Commercial Alteration","Building",,"3344 PEACHTREE RD, 22ND FLOOR (LC)","Issued",
"04/12/2021","BB-202102551","Commercial Alteration","Building",,"BUCK MASON - PCM, SUITE W114 (LC) (CO)","CO Issued",
"04/11/2021","BB-202101216","Commercial Alteration","Building",,"BRICKWORKS, SUITE 1009A (LANDLORD WORK) (LC)","No CO Required",
"04/08/2021","BB-202102490","Commercial Conversion","Building",,"BRIDAL SUITE, SUITE 200 (LC)","CO Issued",
"04/05/2021","BB-202102416","Commercial Addition","Building",,"WEBBER  1 FIRE SUPPRESSION AT GEORGIA TECH   (LC) (CC)","Issued",
"04/05/2021","BB-202102383","Multi Family New","Building",,"ATLAS @ THE QUARTERS  HUTTON   AKA    1147  ANSEL LANE / BLDG. 4 LOT 67   (LC) (CO)","CO Issued",
"04/05/2021","BB-202102402","Multi Family New","Building",,"STONEY POINTE, LOT 127  AKA     3176 STONE ROAD    (LC)  (CO)","CO Issued",
"04/02/2021","BB-202102365","Commercial Alteration","Building",,"","No CO Required",
"03/31/2021","BB-202102294","Commercial Alteration","Building",,"SPEC SUITE #3640   (LC) (CC)","Issued",
"03/31/2021","BB-202102293","Commercial Alteration","Building",,"SPEC SUITE #3630   (LC) (CC)","Issued",
"03/31/2021","BB-202102284","Commercial Alteration","Building",,"EDGEWOOD PARK, SUITE 210 (LC) (CO)","CO Issued",
"03/31/2021","BB-202102296","Multi Family Alteration","Building",,"WILSON RESIDENCE (UNIT 17 A/H) (LC)","Issued",
"03/31/2021","BB-202102302","Commercial Alteration","Building",,"DAVID YURMAN - LENOX SQUARE TEMP STORE (LC) (CC)","Issued",
"03/31/2021","BB-202102306","Commercial Alteration","Building",,"BY WEIGHT & MEASURE, SPACE E (LC) (CO)","CO Issued",
"03/30/2021","BB-202102253","Commercial Alteration","Building",,"BARBER SURGEONS ACADEMY INC. (LC) (CO)","CO Issued",
"03/30/2021","BB-202102270","Multi Family Alteration","Building",,"LIAM HOMES (EXTERIOR RENOVATIONS) (LC)","Expired",
"03/26/2021","BB-202102397","Commercial Alteration","Building",,"DAVID YURMAN SPACE 3010-A (LENOX SQUARE MALL) (LC) (CC)","Issued",
"03/26/2021","BB-202102172","Commercial Alteration","Building",,"BUCKHEAD'S BEST WINE & SPIRITS (LC)","Expired",
"03/26/2021","BB-202102194","Commercial Conversion","Building",,"BUCKHEAD NAIL STUDIO SUITE 102 (LC) (CO)","CO Issued",
"03/25/2021","BB-202102139","Multi Family New","Building",,"STONEY POINTE, LOT 1 aka  2801  RIDGEVIEW DRIVE  (LC) (CO)","CO Issued",
"03/25/2021","BB-202102154","Commercial Alteration","Building",,"DINAN CAPITAL ADVISORS, SUITE 1755 (LC) (CO)","CO Issued",
"03/23/2021","BB-202102056","Commercial New","Building",,"THE HAIR DOLL, SUITE B31 (LC) (CO)","CO Issued",
"03/23/2021","BB-202102049","Commercial Alteration","Building",,"ORIENTAL DESIGNER RUG, INC. (LC) (CO)","CO Issued",
